feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
audience,not_applicable,coding_confidence,high,121,54.0
peer_review,peer_reviewed,source_type,peer_reviewed_journal_article,118,52.7
coding_confidence,high,peer_review,peer_reviewed,116,51.8
coding_confidence,high,source_type,peer_reviewed_journal_article,115,51.3
coding_confidence,high,service_area,learning_and_literacy,96,42.9
coding_confidence,high,intended_outcome,not_applicable,91,40.6
audience,not_applicable,intended_outcome,not_applicable,90,40.2
coding_confidence,high,service_area,collections_and_access,75,33.5
coding_confidence,high,evidence_type,empirical_study,75,33.5
peer_review,peer_reviewed,service_area,learning_and_literacy,72,32.1
service_area,learning_and_literacy,source_type,peer_reviewed_journal_article,72,32.1
coding_confidence,high,intended_outcome,learning_and_literacy,63,28.1
coding_confidence,high,game_format,digital_game,62,27.7
evidence_type,empirical_study,peer_review,peer_reviewed,61,27.2
evidence_type,empirical_study,source_type,peer_reviewed_journal_article,61,27.2
audience,not_applicable,service_area,collections_and_access,59,26.3
intended_outcome,learning_and_literacy,source_type,peer_reviewed_journal_article,58,25.9
intended_outcome,learning_and_literacy,peer_review,peer_reviewed,58,25.9
audience,not_applicable,peer_review,peer_reviewed,56,25.0
audience,not_applicable,service_area,learning_and_literacy,56,25.0
audience,not_applicable,source_type,peer_reviewed_journal_article,55,24.6
coding_confidence,high,service_area,programming_and_facilitation,55,24.6
intended_outcome,learning_and_literacy,service_area,learning_and_literacy,55,24.6
audience,students,coding_confidence,high,50,22.3
coding_confidence,high,game_format,multiple_game_formats,49,21.9
coding_confidence,high,library_context,non_library_context,48,21.4
evidence_type,empirical_study,intended_outcome,learning_and_literacy,48,21.4
coding_confidence,high,library_context,unspecified_library_context,46,20.5
audience,students,peer_review,peer_reviewed,45,20.1
audience,students,evidence_type,empirical_study,45,20.1
audience,students,source_type,peer_reviewed_journal_article,45,20.1
intended_outcome,not_applicable,service_area,collections_and_access,43,19.2
coding_confidence,high,peer_review,editorial_reviewed,42,18.8
evidence_type,empirical_study,service_area,learning_and_literacy,42,18.8
intended_outcome,not_applicable,service_area,learning_and_literacy,42,18.8
audience,not_applicable,game_format,digital_game,41,18.3
audience,students,intended_outcome,learning_and_literacy,40,17.9
game_format,digital_game,peer_review,peer_reviewed,40,17.9
service_area,collections_and_access,source_type,peer_reviewed_journal_article,40,17.9
peer_review,peer_reviewed,service_area,collections_and_access,40,17.9
game_format,digital_game,source_type,peer_reviewed_journal_article,40,17.9
evidence_type,practitioner_reflection,intended_outcome,not_applicable,37,16.5
evidence_type,practitioner_reflection,primary_methodology,none,36,16.1
audience,not_applicable,evidence_type,practitioner_reflection,36,16.1
