feature_group,feature_value,article_count,total_articles,article_pct,rank_within_group
audience,not_applicable,125,224,55.8,1
audience,students,51,224,22.8,2
audience,teens,18,224,8.0,3
audience,children,13,224,5.8,4
audience,general_public,9,224,4.0,5
audience,families,7,224,3.1,6
audience,educators,6,224,2.7,7
audience,underserved_or_special_population,6,224,2.7,7
audience,young_adults,6,224,2.7,7
audience,"educators, teens",1,224,0.4,8
audience,older_adults,1,224,0.4,8
audience,"[students, educators]",1,224,0.4,8
audience,adults,1,224,0.4,8
coding_confidence,high,201,224,89.7,1
coding_confidence,medium,5,224,2.2,2
coding_confidence,low,2,224,0.9,3
conceptual_theme,not_identified,3,224,1.3,1
conceptual_theme,service_ecology,1,224,0.4,2
conceptual_theme,"information_behavior_and_practice, service_ecology",1,224,0.4,2
conceptual_theme,"information_behavior_and_practice, educational_psychology, games_as_cultural_media",1,224,0.4,2
conceptual_theme,"service_ecology, information_behavior_and_practice",1,224,0.4,2
conceptual_theme,"[service_ecology, conditional_benefits]",1,224,0.4,2
evidence_confidence,theoretical_or_conceptual,4,224,1.8,1
evidence_confidence,practitioner_knowledge,2,224,0.9,2
evidence_confidence,not_applicable,2,224,0.9,2
evidence_type,empirical_study,76,224,33.9,1
evidence_type,practitioner_reflection,39,224,17.4,2
evidence_type,theoretical_or_conceptual,26,224,11.6,3
evidence_type,implementation_case,24,224,10.7,4
evidence_type,professional_practice_artifact,20,224,8.9,5
evidence_type,evidence_synthesis,17,224,7.6,6
evidence_type,instrument_or_framework_development,15,224,6.7,7
evidence_type,content_or_artifact_analysis,12,224,5.4,8
game_format,digital_game,63,224,28.1,1
game_format,multiple_game_formats,50,224,22.3,2
game_format,tabletop_game,20,224,8.9,3
game_format,tabletop_roleplaying_game,19,224,8.5,4
game_format,gamification,14,224,6.2,5
game_format,virtual_or_augmented_reality,14,224,6.2,5
game_format,unspecified_game_format,12,224,5.4,6
game_format,escape_room_or_breakout_box,8,224,3.6,7
game_format,toy_or_open_play,3,224,1.3,8
game_format,game_creation,3,224,1.3,8
game_format,"[tabletop_game, digital_game, escape_room_or_breakout_box, gamification]",1,224,0.4,9
game_format,pervasive_game,1,224,0.4,9
intended_outcome,not_applicable,95,224,42.4,1
intended_outcome,learning_and_literacy,64,224,28.6,2
intended_outcome,discovery_and_advisory,25,224,11.2,3
intended_outcome,belonging_and_community,20,224,8.9,4
intended_outcome,creativity_and_production,17,224,7.6,5
intended_outcome,institutional_capacity,14,224,6.2,6
intended_outcome,equitable_access,14,224,6.2,6
intended_outcome,engagement_and_participation,12,224,5.4,7
intended_outcome,cultural_stewardship_and_preservation,6,224,2.7,8
intended_outcome,wellness_and_resilience,3,224,1.3,9
intended_outcome,"learning_and_literacy, belonging_and_community",1,224,0.4,10
intended_outcome,"[equitable_access, learning_and_literacy, engagement_and_participation, institutional_capacity]",1,224,0.4,10
library_context,non_library_context,49,224,21.9,1
library_context,unspecified_library_context,47,224,21.0,2
