article_id,filename,year,decade,journal,title,doi,coding_basis,Source_Type,Peer_Review,Evidence_Type,Primary_Methodology,Library_Context,Game_Format,Service_Area,Audience,Intended_Outcome,Evidence_Confidence,Service_Conditions_Addressed,Conceptual_Theme,Coding_Confidence
50D036217C,burns1981(50D036217C).md,1981,1980s,Cataloging & Classification Quarterly,Alternatives for Library Catalogues,10.1300/J104v01n01_05,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
86A071E0FD,williamson1981(86A071E0FD).md,1981,1980s,Cataloging & Classification Quarterly,An Experiment in Classification,10.1300/J104v01n01_02,abstract_only,peer_reviewed_journal_article,peer_reviewed,empirical_study,experimental_study,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,medium
25182BCC10,duke1981(25182BCC10).md,1981,1980s,Cataloging & Classification Quarterly,Authors and Names,10.1300/J104v01n01_07,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,cultural_stewardship_and_preservation,,,,low
E92B54F312,hurowitz1981(E92B54F312).md,1981,1980s,Cataloging & Classification Quarterly,Future Catalogs and Bibliographic Links at Stanford University Libraries,10.1300/J104v01n01_04,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,academic_library,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
583C5BAA2E,submission1981(583C5BAA2E).md,1981,1980s,Cataloging & Classification Quarterly,News,10.1300/J104v01n01_09,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
B143045CAC,wellisch1981(B143045CAC).md,1981,1980s,Cataloging & Classification Quarterly,The Case of the Missing Subtitle,10.1300/J104v01n01_06,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
C59377BFA4,nasatir1981(C59377BFA4).md,1981,1980s,Cataloging & Classification Quarterly,The Cataloging and Classification of Machine- Readable Data Files,10.1300/J104v01n01_03,abstract_only,peer_reviewed_journal_article,peer_reviewed,empirical_study,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,cultural_stewardship_and_preservation,,,,low
4870381FB0,submission1981(4870381FB0).md,1981,1980s,Cataloging & Classification Quarterly,"The Old, Grey Mare . . .",10.1300/J104v01n01_10,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
38F893BA48,plaister1982(38F893BA48).md,1982,1980s,Cataloging & Classification Quarterly,Alternative and Options,10.1300/J104v02n01_08,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
5F819C659A,submission1982(5F819C659A).md,1982,1980s,Cataloging & Classification Quarterly,Budget Analysis Systems,10.1300/J104v01n02_10,abstract_only,peer_reviewed_journal_article,peer_reviewed,empirical_study,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
5FA634D266,anderson1982(5FA634D266).md,1982,1980s,Cataloging & Classification Quarterly,Catalog File Display,10.1300/J104v01n04_02,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access|discovery_and_advisory,not_applicable,equitable_access,,,,low
02B7687B05,kirtland1982(02B7687B05).md,1982,1980s,Cataloging & Classification Quarterly,Critical Views of LCSH - Library of Congress Subject Headings A Bibliographic and Bibliometric Essay,10.1300/J104v01n02_04,abstract_only,peer_reviewed_journal_article,peer_reviewed,evidence_synthesis,evidence_synthesis,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,medium
6ADD8FB0B0,boll1982(6ADD8FB0B0).md,1982,1980s,Cataloging & Classification Quarterly,From Subject Headings to Descriptors,10.1300/J104v01n02_02,abstract_only,peer_reviewed_journal_article,peer_reviewed,theoretical_or_conceptual,unspecified,unspecified_library_context,unspecified_game_format,collections_and_access,not_applicable,not_applicable,,,,low
