file,description,primary_key
articles.csv,One row per reference article with all coded metadata fields,article_id
article_features_long.csv,One row per article-feature assignment; always present=1,article_id + feature_column
article_feature_matrix.csv,Binary article × feature matrix across all feature groups,article_id
feature_counts.csv,Aggregate article counts per feature_group + feature_value,feature_group + feature_value
journal_counts.csv,Article counts by journal,journal
publication_year_counts.csv,Article counts by publication year,year_label
feature_year_counts.csv,Feature counts by publication year,year + feature_group + feature_value
feature_cooccurrence.csv,Feature pairs co-occurring in ≥2 articles,feature pair
dataset_summary.csv,Headline corpus metrics,metric
dataset_summary.json,Same as dataset_summary.csv in JSON,n/a
data_dictionary.csv,This file,file
validation_report.json,Parse and consistency check results,n/a
reference_corpus_overview.xlsx,Excel workbook with dashboard and per-field sheets,n/a
generated_artifact_manifest.json,All generated files with sizes and timestamp,n/a
source_type_matrix.csv,Binary article × Source_Type matrix,article_id
source_type_counts.csv,Aggregate counts for Source_Type,feature_group + feature_value
peer_review_matrix.csv,Binary article × Peer_Review matrix,article_id
peer_review_counts.csv,Aggregate counts for Peer_Review,feature_group + feature_value
evidence_type_matrix.csv,Binary article × Evidence_Type matrix,article_id
evidence_type_counts.csv,Aggregate counts for Evidence_Type,feature_group + feature_value
primary_methodology_matrix.csv,Binary article × Primary_Methodology matrix,article_id
primary_methodology_counts.csv,Aggregate counts for Primary_Methodology,feature_group + feature_value
library_context_matrix.csv,Binary article × Library_Context matrix,article_id
library_context_counts.csv,Aggregate counts for Library_Context,feature_group + feature_value
game_format_matrix.csv,Binary article × Game_Format matrix,article_id
game_format_counts.csv,Aggregate counts for Game_Format,feature_group + feature_value
service_area_matrix.csv,Binary article × Service_Area matrix,article_id
service_area_counts.csv,Aggregate counts for Service_Area,feature_group + feature_value
audience_matrix.csv,Binary article × Audience matrix,article_id
audience_counts.csv,Aggregate counts for Audience,feature_group + feature_value
intended_outcome_matrix.csv,Binary article × Intended_Outcome matrix,article_id
intended_outcome_counts.csv,Aggregate counts for Intended_Outcome,feature_group + feature_value
evidence_confidence_matrix.csv,Binary article × Evidence_Confidence matrix,article_id
evidence_confidence_counts.csv,Aggregate counts for Evidence_Confidence,feature_group + feature_value
service_conditions_addressed_matrix.csv,Binary article × Service_Conditions_Addressed matrix,article_id
service_conditions_addressed_counts.csv,Aggregate counts for Service_Conditions_Addressed,feature_group + feature_value
conceptual_theme_matrix.csv,Binary article × Conceptual_Theme matrix,article_id
conceptual_theme_counts.csv,Aggregate counts for Conceptual_Theme,feature_group + feature_value
coding_confidence_matrix.csv,Binary article × Coding_Confidence matrix,article_id
coding_confidence_counts.csv,Aggregate counts for Coding_Confidence,feature_group + feature_value
