article_id,year,decade,journal,title
50D036217C,1981,1980s,Cataloging & Classification Quarterly,Alternatives for Library Catalogues
86A071E0FD,1981,1980s,Cataloging & Classification Quarterly,An Experiment in Classification
25182BCC10,1981,1980s,Cataloging & Classification Quarterly,Authors and Names
E92B54F312,1981,1980s,Cataloging & Classification Quarterly,Future Catalogs and Bibliographic Links at Stanford University Libraries
583C5BAA2E,1981,1980s,Cataloging & Classification Quarterly,News
B143045CAC,1981,1980s,Cataloging & Classification Quarterly,The Case of the Missing Subtitle
C59377BFA4,1981,1980s,Cataloging & Classification Quarterly,The Cataloging and Classification of Machine- Readable Data Files
4870381FB0,1981,1980s,Cataloging & Classification Quarterly,"The Old, Grey Mare . . ."
38F893BA48,1982,1980s,Cataloging & Classification Quarterly,Alternative and Options
5F819C659A,1982,1980s,Cataloging & Classification Quarterly,Budget Analysis Systems
5FA634D266,1982,1980s,Cataloging & Classification Quarterly,Catalog File Display
02B7687B05,1982,1980s,Cataloging & Classification Quarterly,Critical Views of LCSH - Library of Congress Subject Headings A Bibliographic and Bibliometric Essay
6ADD8FB0B0,1982,1980s,Cataloging & Classification Quarterly,From Subject Headings to Descriptors
8B5F962581,1982,1980s,Cataloging & Classification Quarterly,Initial Experience with an Online Catalog at the Boys Town Center Library
598538B1BF,1982,1980s,Cataloging & Classification Quarterly,Is There an Answer to the Subject Access Crisis?
B03613FD0A,1982,1980s,Cataloging & Classification Quarterly,Latest vs. Contemporaneous Place Names in Library of Congress Subject Headings
1B4CB22F44,1982,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Heading Period Subdivisions for Southeast Asia
E5009CC4F8,1982,1980s,Cataloging & Classification Quarterly,Library of Congress Subject Headings Pertaining to Society
34C00481FD,1982,1980s,Cataloging & Classification Quarterly,Local Service
85663019BC,1982,1980s,Cataloging & Classification Quarterly,Parallel Title
D6F40833E4,1982,1980s,Cataloging & Classification Quarterly,Scope Notes in Library of Congress Subject Headings
EBEC2AB17C,1982,1980s,Cataloging & Classification Quarterly,Selected Bibliography
5863DD1184,1982,1980s,Cataloging & Classification Quarterly,Standards and Standardization
70781CE10E,1982,1980s,Cataloging & Classification Quarterly,Subject Analysis Systems
D6BD0BE11C,1982,1980s,Cataloging & Classification Quarterly,The Cataloging and Classification of Machine-Readable Data Files Part III: Subject Description of Machine-Readable Data Files
A7DE88F019,1982,1980s,Cataloging & Classification Quarterly,The Cataloging of Machine-Readable Data Files Part II: A Practical Application of the Developing Principles
A782DB7AEE,1982,1980s,Cataloging & Classification Quarterly,The Extended Library and the Dedicated Library
C7392B5DCE,1982,1980s,Cataloging & Classification Quarterly,The First Printed Indexes
56009E4441,1982,1980s,Cataloging & Classification Quarterly,The Impact of Technology
854EE63DF0,1982,1980s,Cataloging & Classification Quarterly,The Library of Congress Union Catalog Experience
7DC2D93D68,1982,1980s,Cataloging & Classification Quarterly,The Union Catalogue
