feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
peer_review,peer_reviewed,source_type,peer_reviewed_journal_article,7201,100.0
game_format,unspecified_game_format,source_type,peer_reviewed_journal_article,7160,99.4
game_format,unspecified_game_format,peer_review,peer_reviewed,7160,99.4
coding_confidence,low,peer_review,peer_reviewed,5322,73.9
coding_confidence,low,source_type,peer_reviewed_journal_article,5322,73.9
coding_confidence,low,game_format,unspecified_game_format,5297,73.6
coding_confidence,low,primary_methodology,unspecified,5081,70.6
peer_review,peer_reviewed,primary_methodology,unspecified,5081,70.6
primary_methodology,unspecified,source_type,peer_reviewed_journal_article,5081,70.6
game_format,unspecified_game_format,primary_methodology,unspecified,5058,70.2
audience,not_applicable,source_type,peer_reviewed_journal_article,5051,70.1
audience,not_applicable,peer_review,peer_reviewed,5051,70.1
audience,not_applicable,game_format,unspecified_game_format,5021,69.7
library_context,unspecified_library_context,peer_review,peer_reviewed,4839,67.2
library_context,unspecified_library_context,source_type,peer_reviewed_journal_article,4839,67.2
game_format,unspecified_game_format,library_context,unspecified_library_context,4812,66.8
audience,not_applicable,library_context,unspecified_library_context,4179,58.0
audience,not_applicable,coding_confidence,low,4121,57.2
audience,not_applicable,primary_methodology,unspecified,3937,54.7
coding_confidence,low,library_context,unspecified_library_context,3905,54.2
evidence_type,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,3729,51.8
coding_confidence,low,evidence_type,theoretical_or_conceptual,3729,51.8
evidence_type,theoretical_or_conceptual,peer_review,peer_reviewed,3729,51.8
library_context,unspecified_library_context,primary_methodology,unspecified,3727,51.8
evidence_type,theoretical_or_conceptual,game_format,unspecified_game_format,3710,51.5
evidence_type,theoretical_or_conceptual,primary_methodology,unspecified,3488,48.4
intended_outcome,not_applicable,peer_review,peer_reviewed,3350,46.5
intended_outcome,not_applicable,source_type,peer_reviewed_journal_article,3350,46.5
game_format,unspecified_game_format,intended_outcome,not_applicable,3337,46.3
audience,not_applicable,evidence_type,theoretical_or_conceptual,3017,41.9
evidence_type,theoretical_or_conceptual,library_context,unspecified_library_context,2884,40.0
coding_confidence,low,intended_outcome,not_applicable,2778,38.6
audience,not_applicable,intended_outcome,not_applicable,2738,38.0
peer_review,peer_reviewed,service_area,collections_and_access,2725,37.8
service_area,collections_and_access,source_type,peer_reviewed_journal_article,2725,37.8
game_format,unspecified_game_format,service_area,collections_and_access,2711,37.6
intended_outcome,not_applicable,primary_methodology,unspecified,2680,37.2
evidence_type,empirical_study,source_type,peer_reviewed_journal_article,2630,36.5
evidence_type,empirical_study,peer_review,peer_reviewed,2630,36.5
evidence_type,empirical_study,game_format,unspecified_game_format,2614,36.3
intended_outcome,not_applicable,library_context,unspecified_library_context,2557,35.5
coding_confidence,low,service_area,collections_and_access,2203,30.6
evidence_type,theoretical_or_conceptual,intended_outcome,not_applicable,2128,29.6
primary_methodology,unspecified,service_area,collections_and_access,2123,29.5
audience,not_applicable,service_area,collections_and_access,2113,29.3
service_area,discovery_and_advisory,source_type,peer_reviewed_journal_article,2056,28.6
peer_review,peer_reviewed,service_area,discovery_and_advisory,2056,28.6
game_format,unspecified_game_format,service_area,discovery_and_advisory,2045,28.4
library_context,unspecified_library_context,service_area,collections_and_access,1967,27.3
library_context,unspecified_library_context,service_area,discovery_and_advisory,1940,26.9
audience,not_applicable,service_area,discovery_and_advisory,1907,26.5
coding_confidence,medium,source_type,peer_reviewed_journal_article,1879,26.1
coding_confidence,medium,peer_review,peer_reviewed,1879,26.1
coding_confidence,medium,game_format,unspecified_game_format,1863,25.9
evidence_type,theoretical_or_conceptual,service_area,collections_and_access,1723,23.9
coding_confidence,low,service_area,discovery_and_advisory,1682,23.4
library_context,academic_library,peer_review,peer_reviewed,1639,22.8
library_context,academic_library,source_type,peer_reviewed_journal_article,1639,22.8
game_format,unspecified_game_format,library_context,academic_library,1633,22.7
primary_methodology,unspecified,service_area,discovery_and_advisory,1611,22.4
intended_outcome,learning_and_literacy,source_type,peer_reviewed_journal_article,1496,20.8
